"fld_dim","sim","fit_model","job"
100,63,"MGCV FIXED",650
200,63,"MGCV FIXED",651
300,63,"MGCV FIXED",652
50,64,"MGCV FIXED",653
100,64,"MGCV FIXED",654
200,64,"MGCV FIXED",655
300,64,"MGCV FIXED",656
50,65,"MGCV FIXED",657
100,65,"MGCV FIXED",658
200,65,"MGCV FIXED",659
300,65,"MGCV FIXED",660
50,66,"MGCV FIXED",661
100,66,"MGCV FIXED",662
200,66,"MGCV FIXED",663
300,66,"MGCV FIXED",664
50,67,"MGCV FIXED",665
100,67,"MGCV FIXED",666
200,67,"MGCV FIXED",667
300,67,"MGCV FIXED",668
50,68,"MGCV FIXED",669
100,68,"MGCV FIXED",670
200,68,"MGCV FIXED",671
300,68,"MGCV FIXED",672
50,69,"MGCV FIXED",673
100,69,"MGCV FIXED",674
200,69,"MGCV FIXED",675
300,69,"MGCV FIXED",676
50,70,"MGCV FIXED",677
100,70,"MGCV FIXED",678
200,70,"MGCV FIXED",679
300,70,"MGCV FIXED",680
50,71,"MGCV FIXED",681
100,71,"MGCV FIXED",682
200,71,"MGCV FIXED",683
300,71,"MGCV FIXED",684
50,72,"MGCV FIXED",685
100,72,"MGCV FIXED",686
200,72,"MGCV FIXED",687
300,72,"MGCV FIXED",688
50,73,"MGCV FIXED",689
100,73,"MGCV FIXED",690
200,73,"MGCV FIXED",691
300,73,"MGCV FIXED",692
50,74,"MGCV FIXED",693
100,74,"MGCV FIXED",694
200,74,"MGCV FIXED",695
300,74,"MGCV FIXED",696
50,75,"MGCV FIXED",697
100,75,"MGCV FIXED",698
200,75,"MGCV FIXED",699
300,75,"MGCV FIXED",700
50,76,"MGCV FIXED",701
100,76,"MGCV FIXED",702
200,76,"MGCV FIXED",703
300,76,"MGCV FIXED",704
50,77,"MGCV FIXED",705
100,77,"MGCV FIXED",706
200,77,"MGCV FIXED",707
300,77,"MGCV FIXED",708
50,78,"MGCV FIXED",709
100,78,"MGCV FIXED",710
200,78,"MGCV FIXED",711
300,78,"MGCV FIXED",712
50,79,"MGCV FIXED",713
100,79,"MGCV FIXED",714
200,79,"MGCV FIXED",715
300,79,"MGCV FIXED",716
50,80,"MGCV FIXED",717
100,80,"MGCV FIXED",718
200,80,"MGCV FIXED",719
300,80,"MGCV FIXED",720
50,81,"MGCV FIXED",721
100,81,"MGCV FIXED",722
200,81,"MGCV FIXED",723
300,81,"MGCV FIXED",724
50,82,"MGCV FIXED",725
100,82,"MGCV FIXED",726
200,82,"MGCV FIXED",727
300,82,"MGCV FIXED",728
50,83,"MGCV FIXED",729
100,83,"MGCV FIXED",730
200,83,"MGCV FIXED",731
300,83,"MGCV FIXED",732
50,84,"MGCV FIXED",733
100,84,"MGCV FIXED",734
200,84,"MGCV FIXED",735
300,84,"MGCV FIXED",736
50,85,"MGCV FIXED",737
100,85,"MGCV FIXED",738
200,85,"MGCV FIXED",739
300,85,"MGCV FIXED",740
50,86,"MGCV FIXED",741
100,86,"MGCV FIXED",742
200,86,"MGCV FIXED",743
300,86,"MGCV FIXED",744
50,87,"MGCV FIXED",745
100,87,"MGCV FIXED",746
200,87,"MGCV FIXED",747
300,87,"MGCV FIXED",748
50,88,"MGCV FIXED",749
100,88,"MGCV FIXED",750
